freelunch,name,ell,dbn,black,asian,female,year,hisp,sped,male,white
70.5,EDWARD A.REYNOLDS WEST SIDE HIGH  SCHOOL        ,7.8,03M505,34.6,0.5,55.7,2011-2012,64.4,23,44.3,0.5
55.2,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL            ,1.3,03M541,21.4,25.6,58.9,2011-2012,41.5,3.8,41.1,10.2
3.7,SPECIAL MUSIC SCHOOL                            ,1.4,03M859,7.2,23.2,53.6,2011-2012,8.7,2.9,46.4,55.1
64.2,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL  ,5.8,03M860,77.7,0.7,45.8,2011-2012,18.9,20.8,54.2,1.5
34.5,MOTT HALL II                                    ,2.2,03M862,27.4,5.7,48.3,2011-2012,47,14.5,51.7,18.6
78,PS 007 SAMUEL STERN                             ,17.3,04M007,28.3,2,50.1,2011-2012,65.9,13.8,49.9,3
47.9,TAG YOUNG SCHOLARS                              ,0,04M012,46.1,19.2,56.2,2011-2012,29.1,2,43.8,4.4
75.3,JHS 013 JACKIE ROBINSON                         ,9,04M013,36.9,2.1,41.6,2011-2012,58.4,30.9,58.4,1.3
74,RIVER EAST                                      ,8.6,04M037,47.6,0.9,52.4,2011-2012,46.4,19.3,47.6,1.3
79.1,PS 38 ROBERTO CLEMENTE                          ,15,04M038,29.6,6.9,48.5,2011-2012,60.2,24.8,51.5,2.6
90.1,JHS 045 JOHN C ROBERTS                          ,21.7,04M045,32.8,1.6,42.2,2011-2012,64.3,29.5,57.8,0.4
83.7,PS 050 VITO MARCANTONIO                         ,11.4,04M050,36.3,3.2,44.5,2011-2012,59.9,35.6,55.5,0.6
86.1,JAMES WELDON JOHNSON                            ,15.3,04M057,26,3.5,49,2011-2012,68.5,21,51,1.7
88,PS 072                                          ,25.1,04M072,8.3,0.2,50.8,2011-2012,87.7,21.5,49.2,3
75.6,PS 083 LUIS MUNOZ RIVERA                        ,13,04M083,26.6,9.5,51.2,2011-2012,60.9,11.8,48.8,2.3
87.1,PS 096 JOSEPH LANZETTA                          ,16.4,04M096,24.6,1.3,47.3,2011-2012,71.2,20.4,52.7,1.9
95.4,PS 102 JACQUES CARTIER                          ,16,04M102,24.7,3,44.3,2011-2012,67.7,32,55.7,2.7
87.3,PS 108 ASSMBLY ANGELO DEL TORO                  ,13.2,04M108,27.7,4.8,51,2011-2012,65.4,17.1,49,1.4
85.8,PS 112 JOSE CELSO BARBOSA                       ,22.3,04M112,25.5,3.3,40.1,2011-2012,59.3,27.6,59.9,6.8
90.3,PS 146 ANN M SHORT                              ,24.9,04M146,23,3.2,44.7,2011-2012,71.7,45.4,55.3,1.5
93.4,PS 155 WILLIAM PACA                             ,37.5,04M155,14.6,3.7,45.1,2011-2012,81.1,19.7,54.9,0.6
