dbn,name,year,freelunch,ell,sped,asian,black,hisp,white,male,female
05M469,CHOIR ACADEMY OF HARLEM                         ,2011-2012,81.9,2,13.3,0.3,76.1,22.5,0.6,39.8,60.2
05M499,FREDERICK DOUGLASS ACADEMY                      ,2011-2012,57.6,2.4,8.9,1.2,74.4,22.8,1.3,52.2,47.8
05M514,NEW DESIGN MIDDLE SCHOOL                        ,2011-2012,60,9.8,28.6,1.8,61.6,35.7,0.9,52.7,47.3
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL               ,2011-2012,60,2,4,2,60,14,14,52,48
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIA,2011-2012,65.1,1.4,10,0.2,78.1,20.9,0.2,44.1,55.9
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL       ,2011-2012,71.8,17.6,21,0.4,53.2,45.4,0.6,48.9,51.1
05M692,HIGH SCHOOL FOR MATHEMATICS SCI AND ENGINEERING ,2011-2012,18.5,0,0,36.2,15,21.2,26.1,65.8,34.2
06M004,PS 004 DUKE ELLINGTON                           ,2011-2012,85.9,44.6,13.1,0.6,8.2,90.3,0.7,50.3,49.7
06M005,PS 005 ELLEN LURIE                              ,2011-2012,89.1,46.3,13.2,0.3,6.6,92.5,0.4,48.5,51.5
06M008,PS 008 LUIS BELLIARD                            ,2011-2012,95.3,45.2,13,0.5,3.9,95.1,0.5,50.2,49.8
06M018,PS 018 PARK TERRACE EARLY CHIL                  ,2011-2012,84.4,58.1,8.3,0.5,0.5,99,0,50.2,49.8
06M028,PS 028 WRIGHT BROTHERS                          ,2011-2012,86.4,48.1,12.8,0.1,14.7,82.5,2.3,51.9,48.1
06M048,PS 048 PO MICHAEL J. BUCZEK                     ,2011-2012,90.1,40.7,17.4,1.4,2.3,93.1,2.8,51.1,48.9
06M052,JHS 052 INWOOD                                  ,2011-2012,89.6,37.9,17.6,0.3,6.5,92.3,0.8,52.2,47.8
06M098,PS 098 SHORAC KAPPOCK                           ,2011-2012,96.6,41.8,10.5,1.4,3.1,93.1,2,51.3,48.7
06M115,PS 115 ALEXANDER HUMBOLDT                       ,2011-2012,99.5,36.5,9.8,0,0.9,97.3,1.5,52.2,47.8
06M128,PS 128 AUDUBON                                  ,2011-2012,90,36.3,13.3,0.2,3.8,95.4,0.6,51.2,48.8
06M132,PS 132 JUAN PABLO DUARTE                        ,2011-2012,92.3,53.8,13.6,0.4,1,96.7,1.6,52.8,47.2
06M143,JHS 143 ELEANOR ROOSEVELT                       ,2011-2012,84.4,44.8,22.1,0,2.8,94.3,2.8,54.6,45.4
06M152,PS 152 DYCKMAN VALLEY                           ,2011-2012,88.2,34.3,12.7,0.8,2.3,94.8,1.2,52,48
06M153,PS 153 ADAM CLAYTON POWELL                      ,2011-2012,90,35,11.3,1.6,16.4,78.7,3,49.8,50.2
06M173,PS 173                                          ,2011-2012,85,23,10.2,1.1,3.3,92.2,2.6,49.7,50.3
06M178,PROF. JUAN BOSCH PUBLIC SCHOOL                  ,2011-2012,63.4,23.9,18.6,0.9,5.3,73,15.9,49.1,50.9
06M187,PS 187 HUDSON CLIFFS                            ,2011-2012,60.4,8.6,11,3.6,2.5,55.4,35.1,46,54
06M189,PS 189                                          ,2011-2012,96.3,40.6,11,0.5,1,97.4,1.1,48.6,51.4
06M192,PS 192 JACOB H SCHIFF                           ,2011-2012,93.4,29.3,13.4,0.5,8.9,88.4,1.9,49.7,50.3
06M210,PS 210 21ST CENT ACAD                           ,2011-2012,85.6,47.5,11.8,0.2,3.1,96.5,0.2,46.6,53.4
06M218,I S 218 SALOME UKENA                            ,2011-2012,93.4,43.9,22.5,0.3,2.9,95.6,1.2,60.8,39.2
06M223,I S 223 MOTT HALL                               ,2011-2012,62,2.1,4.6,2.4,8.5,86,2.7,45.4,54.6
06M278,P.S./I.S. 278                                   ,2011-2012,70.4,15.4,11.6,3.4,3.8,79.9,12.5,50.7,49.3
06M293,CITY COLLEGE ACADEMY OF THE ARTS                ,2011-2012,71.6,6.1,13.1,0.7,6,92,1.2,39.6,60.4
06M311,AMISTAD DUAL LANGUAGE SCHOOL                    ,2011-2012,63.6,23.4,10.9,2.1,1.6,87,8.3,46.3,53.7
06M314,MUSCOTA                                         ,2011-2012,45.3,9.9,12.8,5.3,8.2,55.1,30.5,46.5,53.5
06M319,MS 319 - MARIA TERESA                           ,2011-2012,94.4,39.1,13.6,0.5,4.6,93.8,0.9,54.2,45.8
06M322,MIDDLE SCHOOL 322                               ,2011-2012,92.5,38,15.8,0.9,1.5,95.2,2.2,52.9,47.1
06M324,MS 324 - PATRIA                                 ,2011-2012,91.2,43.5,17.3,0.7,11.9,85,1.4,50.7,49.3
06M325,PS 325                                          ,2011-2012,96.7,41,22.2,1.1,5,90.6,3.3,54.6,45.4
06M326,MS 326 - WRITERS TODAY & LEADERS TOMORROW       ,2011-2012,86.9,46.9,16.5,0,11.2,87,1.9,61.8,38.2
06M328,MS 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC ,2011-2012,93.4,49.9,21.5,0.2,7.9,91.1,0.2,56.3,43.7
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS         ,2011-2012,78.8,30,17.3,0.2,5.2,93.8,0.8,52.3,47.7
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,2011-2012,87.5,19.6,18.1,0,2.3,96.7,0.3,55.8,44.2
06M349,HARBOR HEIGHTS                                  ,2011-2012,92.1,94.2,1.3,0,0,100,0,54.8,45.2
06M366,WASHINGTON HEIGHTS ACADEMY                      ,2011-2012,65.1,21.3,5.9,1.8,0.8,91,4.9,42.7,57.3
06M368,HAMILTON HEIGHTS SCHOOL                         ,2011-2012,63.7,30.9,7.3,4.7,23.6,62.2,9,52.4,47.6
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION       ,2011-2012,99.2,19.7,34.3,0,25.8,72.5,0,52.8,47.2
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINAN,2011-2012,89.3,43,13.7,0.5,5.2,91.4,1.4,63.8,36.2
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS        ,2011-2012,83.8,26.9,17,1,10.7,87.1,0.5,63.5,36.5
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE          ,2011-2012,72.5,32,16.7,1,13,84.4,1.3,58.6,41.4
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES     ,2011-2012,90.7,31.2,13.8,0.7,13.7,83.8,1,52.7,47.3
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL              ,2011-2012,86.2,17.5,12.4,0.4,2.6,96.4,0.7,41.2,58.8
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL           ,2011-2012,76.3,2.3,5.5,4,32.8,62.3,0.7,49.9,50.1
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MAT,2011-2012,92.8,89.6,0,0,0,99.8,0,48.9,51.1
07X001,PS 001 COURTLANDT SCHOOL                        ,2011-2012,96.2,30,19.5,0.7,21.4,75.5,1.6,48.5,51.5
07X005,PS 005 PORT MORRIS                              ,2011-2012,97.3,22.3,17.2,0.4,26.4,70.6,1.5,53,47
07X018,PS 018 JOHN PETER ZENGER                        ,2011-2012,80.4,26.4,19.6,0.2,31.5,65.8,1.1,52.5,47.5
07X025,PS 025 BILINGUAL SCHOOL                         ,2011-2012,100,29.7,16.6,0,10.3,88.9,0.8,50.1,49.9
07X029,PS 029 MELROSE SCHOOL                           ,2011-2012,83.8,11.5,17.4,1.7,32.6,63.3,2,49.5,50.5
07X030,PS 030 WILTON                                   ,2011-2012,95.5,21.2,15.7,0.6,19.1,78.8,1.6,50.3,49.7
07X031,PS/MS 031 THE WILLIAM LLOYD GARRISON            ,2011-2012,91.4,12.1,17.8,3,24.2,70.9,1.4,50.5,49.5
07X043,PS 043 JONAS BRONCK                             ,2011-2012,95.8,10.7,14.2,0.6,23.9,74.2,1.2,49.1,50.9
07X049,PS 049 WILLIS AVE                               ,2011-2012,91.6,20,18.4,0,30.7,67.9,0.6,50.7,49.3
07X065,PS 065 MOTHER HALE ACADEMY                      ,2011-2012,98,16.5,21.2,1,28.5,70.3,0.2,54,46
07X151,JHS 151 LOU GEHRIG                              ,2011-2012,98.6,26.6,23.4,0,27.3,71.3,1.4,48.3,51.7
07X154,PS 154 JONATHAN D HYATT                         ,2011-2012,96.7,12.8,17.2,0.6,33.5,60.8,1.5,52.5,47.5
07X157,PS 157 GROVE HILL                               ,2011-2012,85.5,13.9,14.4,0.5,33.9,65.2,0,50,50
07X161,PS 161 PONCE DE LEON                            ,2011-2012,91.3,25.5,24.5,0.3,28.2,69.1,1.2,52.3,47.7
07X162,JHS 162 LOLA RODRIGUEZ DE TIO                   ,2011-2012,79.1,21.7,26.6,0.7,25.5,73.6,0.2,51.6,48.4
07X179,PS 179                                          ,2011-2012,89.4,27.6,19.8,1,18,77.9,0.5,52.4,47.6
07X203,MS 203                                          ,2011-2012,84.3,22.6,22.6,0,29.7,69.9,0.4,55.2,44.8
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL ,2011-2012,72.9,8.8,19.3,0.6,29.9,68.8,0.5,47.4,52.6
07X223,MS 223/THE LABORATORY SCHOOL OF FINANCE AND TECH,2011-2012,91.6,8.3,17,0,25.1,74.5,0.4,46.8,53.2
07X224,P.S./I.S. 224                                   ,2011-2012,89.9,35.1,19.3,1.3,22.8,73.7,2.1,56.3,43.7
07X277,PS 277                                          ,2011-2012,89.2,18.5,18.5,0.6,24.4,73.3,0.8,52.3,47.7
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA           ,2011-2012,84.8,11.9,24.4,0.6,35.7,63.1,0.3,45.1,54.9
07X298,ACADEMY OF PUBLIC RELATIONS                     ,2011-2012,88.4,40.2,20.3,0.4,18.4,80.8,0.4,49.6,50.4
07X321,CROTONA ACADEMY HIGH SCHOOL                     ,2011-2012,78.3,2.4,6.5,0.8,42.7,54,0.8,31.5,68.5
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL             ,2011-2012,77.5,90.1,1.8,4.8,20.1,71.8,2,48.6,51.4
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY   ,2011-2012,92.6,15.7,26.8,0.8,31.9,65.7,1.2,49.6,50.4
07X369,YOUNG LEADERS ELEMENTARY SCHOOL                 ,2011-2012,92.7,34.1,16.6,0.3,16.2,79.4,3.7,54.1,45.9
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL              ,2011-2012,71.7,3,7.6,0.5,40.9,56.6,1,36.9,63.1
07X381,BRONX HAVEN HIGH SCHOOL                         ,2011-2012,64.7,7.8,8.5,0.7,35.9,62.7,0.7,37.3,62.7
07X385,PERFORMANCE SCHOOL                              ,2011-2012,91.3,25,20,0.8,36.2,61.5,1.2,54.3,45.7
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE             ,2011-2012,82.7,13.2,19.7,0.6,32.3,65.5,0.9,49.2,50.8
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL      ,2011-2012,78.5,9.6,18.5,1.1,22.6,76,0,50.1,49.9
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COM,2011-2012,90.1,3.7,5.2,2.6,18.1,78.1,1.3,43.2,56.8
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE               ,2011-2012,68.3,5.6,11.9,2,24,72.7,0.7,45.2,54.8
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES      ,2011-2012,89.9,21.9,22.5,3.2,26,68.8,1,45.3,54.7
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY           ,2011-2012,60,20.3,19.6,2.2,29.7,67.4,0,84.8,15.2
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL         ,2011-2012,77,14.1,18.5,1.4,41.2,56,1,54,46
07X547,NEW EXPLORERS HIGH SCHOOL                       ,2011-2012,90.4,15.7,25.1,0.5,30.3,68.1,0.5,57.7,42.3
07X548,ACADEMY FOR CAREERS IN SPORTS                   ,2011-2012,74.3,5,18.7,0.4,26.6,70.4,0.4,84.3,15.7
07X551,BRONX ACADEMY OF LETTERS                        ,2011-2012,79.1,9.4,24,0.5,34.1,64.3,0.9,44.5,55.5
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION H,2011-2012,76.7,9.1,22,1.4,35.9,61.5,0.7,92.7,7.3
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HI,2011-2012,75.7,17,26.1,1.2,32.4,64.9,0.8,79.6,20.4
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL                ,2011-2012,77.8,10.4,19.6,3.1,39.2,56.9,0.5,28.6,71.4
08X014,PS 014 SEN JOHN CALANDRA                        ,2011-2012,52.4,6.5,16.4,2.3,4.3,57.7,35.5,57.9,42.1
08X036,PS 036 UNIONPORT                                ,2011-2012,78.6,14.1,16.4,15.8,10.9,68.6,2.7,49.9,50.1
08X048,PS 048 JOSEPH R DRAKE                           ,2011-2012,86.3,18.6,19.9,0.2,25.4,73.3,0.7,53.6,46.4
08X062,PS 062 INOCENSIO CASANOVA                       ,2011-2012,87.3,14.4,18.9,0,19.4,78.7,1.5,53.3,46.7
08X069,PS 069 THE NEW VISION SCHOOL                    ,2011-2012,82.7,12.9,20.6,2.1,15.9,78.9,2.8,47.8,52.2
08X071,PS 071 ROSE E SCALA                             ,2011-2012,57,6.1,18.9,7.3,4.5,58.5,28.8,50.3,49.7
08X072,PS 072 DR WILLIAM DORNEY                        ,2011-2012,67.7,5.1,17.9,5.1,20.8,68.6,5.2,52.3,47.7
08X075,PS 075                                          ,2011-2012,89.9,14.8,15.6,0.3,25.6,71.2,1.8,52.1,47.9
08X093,PS 093 ALBERT G. OLIVER                         ,2011-2012,75.5,12.2,21.7,0,55.1,43.4,1,50.4,49.6
08X100,PS 100 ISSAC CLASSON                            ,2011-2012,75.1,7.5,19.9,0.9,39.1,58.4,0.8,52.9,47.1
08X101,MS 101X P.O. EDWARD R. BYRNE                    ,2011-2012,60.1,0.9,11.9,14,14.2,51.3,19.6,48.7,51.3
08X107,PS 107                                          ,2011-2012,79.1,10.3,18.9,1.5,44.4,52,0.8,46.8,53.2
08X119,PS 119                                          ,2011-2012,75.4,22.3,10.9,29.2,9.6,56.3,3.8,46.8,53.2
08X123,JHS 123 JAMES M. KIERNAN                        ,2011-2012,88.1,22.4,19.7,1,26.4,71.7,0.6,46.6,53.4
08X125,JHS 125 HENRY HUDSON                            ,2011-2012,83.7,17.9,17.6,24.8,14.6,57.9,1.7,52.5,47.5
08X130,PS 130 ABRAM STEVENS HEWITT                     ,2011-2012,90,27.1,15.1,0.6,25.6,71.6,1.5,49.4,50.6
08X131,JHS 131 ALBERT EINSTEIN                         ,2011-2012,76.3,6.4,19.7,1.9,39.7,57.3,0.2,49.1,50.9
08X138,PS 138 SAMUEL RANDALL                           ,2011-2012,83.3,7,14.8,1.7,30.6,65.3,0.4,51.7,48.3
08X140,PS 140 EAGLE                                    ,2011-2012,89.4,6.9,12.7,1,39.9,56.8,2.3,53.5,46.5
08X146,PS 146 EDWARD COLLINS                           ,2011-2012,95.2,13.8,10.8,0.8,42.6,54.2,1.2,49.9,50.1
08X152,PS 152 EVERGREEN                                ,2011-2012,86.4,26,12.2,0.8,23,74.2,0.7,47.6,52.4
08X182,PS 182                                          ,2011-2012,75.9,3.9,10.9,5.6,29.7,63.3,1.1,48,52
08X269,BRONX STUDIO SCHOOL                             ,2011-2012,85.6,9.2,13.4,1.2,22.4,74.8,1,44,56
08X282,YOUNG WOMEN'S LEADERSHIP SCHOOL BRONX           ,2011-2012,72.2,2.6,15.6,2.9,45.9,46.4,2.4,0.3,99.7
08X293,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TEC,2011-2012,66.4,4.5,21.7,2.6,25.4,63.8,7.7,38,62
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TE,2011-2012,74.6,11.5,24.1,5.6,33.1,59.4,1,60,40
08X301,MS 301 PAUL L. DUNBAR MS                        ,2011-2012,81.6,16.6,18.8,0,32.6,64.6,2.5,50.2,49.8
08X302,MS 302 LUISA DESSUS CRUZ MS                     ,2011-2012,99.6,23.8,26,0.4,20.5,78.5,0.6,51.9,48.1
08X304,PS 304 EARLY CHILDHOOD SCHOOL                   ,2011-2012,57.7,2.6,14.5,5,5.9,48.3,39,52,48
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ,2011-2012,75.8,15.9,27.3,2.5,26.2,69.9,1.4,66,34
08X312,MILLENNIUM ART ACADEMY                          ,2011-2012,74.2,5.4,20.4,1.8,32.5,64.3,1,49.2,50.8
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH ,2011-2012,79.6,12.6,18,0.9,39.9,56.8,0.6,49.2,50.8
08X333,NEW SCHOOL #1 @ PS 60                           ,2011-2012,81.9,29.4,17.3,0.2,22.2,76.2,0.9,52.1,47.9
08X335,NEW SCHOOL #2 @ PS 60                           ,2011-2012,91.4,15.6,14.1,1,25.5,71.4,0.5,53.1,46.9
08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE       ,2011-2012,79.2,9.8,23.3,2.4,38.3,57.8,1.4,50.9,49.1
08X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT      ,2011-2012,73.6,15.6,29.2,7,21.8,61.7,7,53.9,46.1
08X367,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECH    ,2011-2012,87.3,2.6,22,2.8,35,60.2,2,62,38
08X371,URBAN INSTITUTE OF MATHEMATICS                  ,2011-2012,62.7,6.3,18.2,5.3,11.6,59.3,23.5,54,46
08X375,BRONX MATHEMATICS PREPARATORY SCHOOL            ,2011-2012,84.2,9,25.4,4.6,34.7,59.8,0.9,55.4,44.6
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY             ,2011-2012,81.3,7.4,24.1,4.9,27.8,66,0.7,47,53
08X377,BRONX COMMUNITY HIGH SCHOOL                     ,2011-2012,73.9,4.5,5,1,33,63.5,1,50.5,49.5
08X405,HERBERT LEHMAN HIGH SCHOOL                      ,2011-2012,66.8,9.2,20.9,6.8,23,60.6,9,61.1,38.9
08X424,THE HUNTS POINT SCHOOL                          ,2011-2012,93,19.1,23.2,0,27.3,70.9,1.5,53.1,46.9
08X432,BRONX BRIDGES HIGH SCHOOL                       ,2011-2012,87.2,79.4,7.7,5.2,8.4,83.2,2.6,52.3,47.7
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP   ,2011-2012,85.3,9.3,19.3,1,33.8,63.3,0.6,53.4,46.6
08X452,BRONX GUILD: A NEW YORK CITY OUTWARD BOUND SCHOO,2011-2012,69.2,7.2,23,3.9,33.8,61.3,0.7,49.5,50.5
08X467,MOTT HALL COMMUNITY SCHOOL                      ,2011-2012,59.6,6.6,23.5,1.8,16.5,62.5,18.4,55.9,44.1
08X519,THE FELISA RINCON DE GAUTIER INSTITUTE FOR LAW A,2011-2012,72.3,14,20.9,1.4,21.8,76,0.6,43,57
08X530,BANANA KELLY HIGH SCHOOL                        ,2011-2012,81.9,13.5,25.7,0.7,32.6,65.4,1.1,49.9,50.1
08X537,BRONX ARENA HIGH SCHOOL                         ,2011-2012,60,4.7,6.2,2.3,40.3,55.8,0.8,43.4,56.6
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING      ,2011-2012,83.8,11,28.3,4.7,28.8,64.9,1,57.1,42.9
08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH SCHOOL    ,2011-2012,76.2,9.2,6.7,0,37.9,61,1,44.1,55.9
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS    ,2011-2012,85.7,11.2,22.2,1.5,36.8,60.8,0.3,28.3,71.7
09X002,PS 002 MORRISANIA                               ,2011-2012,89.9,28.6,49,0,42.9,57.1,0,55.1,44.9
09X004,PS\MS 004 CROTONA PARK WEST                     ,2011-2012,90,10.6,19.7,0.5,52.9,45.3,0.5,52.9,47.1
09X011,PS 011 HIGHBRIDGE                               ,2011-2012,89.4,34.2,16.7,0.1,31.4,67.4,0.7,52.8,47.2
09X022,JHS 022 JORDAN L MOTT                           ,2011-2012,97.3,29.9,18.2,1.5,26.5,71.1,0.6,50.4,49.6
09X028,PS 028 MOUNT HOPE                               ,2011-2012,95.6,31.3,13.7,0.4,16.1,83.3,0,52.3,47.7
09X035,PS 035 FRANZ SIEGEL                             ,2011-2012,87.4,20.3,11.9,0.9,30,68.3,0.3,50.5,49.5
09X042,PS 042 CLAREMONT                                ,2011-2012,92.9,18.4,22.2,0.6,40.4,57.4,1.6,52.6,47.4
09X053,PS 053 BASHEER QUISIM                           ,2011-2012,88.2,32.1,8.7,1.2,31.9,65.7,0.9,50.4,49.6
09X055,PS 055 BENJAMIN FRANKLIN                        ,2011-2012,85.8,19,18,0.3,49.6,49.6,0.3,55.6,44.4
09X058,PS 058                                          ,2011-2012,84.7,27.2,24.9,0.2,26.3,71.9,1.4,54,46
09X063,PS 063 AUTHOR'S ACADEMY                         ,2011-2012,94.8,18.3,17.5,0.2,39.9,59,0.7,46.6,53.4
09X064,PS 064 PURA BELPRE                              ,2011-2012,98.2,49,16.3,0.9,15,83.4,0.3,53.1,46.9
09X070,PS 070 MAX SCHOENFELD                           ,2011-2012,92.5,29,9.3,2.3,22.9,74.2,0.2,48.6,51.4
09X073,PS 073 BRONX                                    ,2011-2012,95.9,21.5,11.6,0,29.5,68.4,2.1,51.9,48.1
09X088,PS 088 S. SILVERSTEIN LITTLE S                  ,2011-2012,91.2,27.1,11.8,0,33.9,65.6,0,52.9,47.1
09X109,PS 109 SEDGWICK                                 ,2011-2012,92.4,25.6,13.5,0.2,24.9,74,0.8,51.4,48.6
09X110,PS 110 THEODORE SCHOENFELD                      ,2011-2012,86.5,8.9,20.2,0.4,51.3,46.7,0.9,52.4,47.6
09X114,PS 114 LUIS LLORENS TORRES CHL                  ,2011-2012,90.6,37,12.4,3.4,17.9,76.9,0.7,51.7,48.3
09X117,I.S.117 JOSEPH H WADE                           ,2011-2012,88.1,31.9,22.9,1.3,20.3,77.2,0.4,52.5,47.5
09X126,PS 126 DR MARJORIE H DUNBAR                     ,2011-2012,89.8,22.7,13.9,0,27.5,72,0.5,48.2,51.8
09X128,MOTT HALL III                                   ,2011-2012,84.7,7.9,11.8,2.7,32.1,64.4,0.3,44.4,55.6
09X132,PS 132 GARRET A MORGAN                          ,2011-2012,89,22.3,26,0.2,44.2,54.2,0.7,55.1,44.9
09X145,JHS 145 ARTURO TOSCANINNI                       ,2011-2012,86.1,36.1,21.6,2.3,29.5,67,0.8,52.4,47.6
09X163,PS 163 ARTHUR A SCHOMBURG                       ,2011-2012,98.5,38.4,15,0.3,30.7,65.8,0.4,50.4,49.6
09X170,PS 170                                          ,2011-2012,81.8,29.3,12,1.5,22.4,73.4,1.5,50.6,49.4
09X199,P.S. 199X THE SHAKESPEARE SCHOOL                ,2011-2012,99.1,23.3,13.3,0.1,34.2,65.3,0.3,51.3,48.7
09X204,PS 204 MORRIS HEIGHTS                           ,2011-2012,89.1,14,13.2,0,32.5,65.8,0.2,47.8,52.2
09X215,KAPPA                                           ,2011-2012,87.1,11.1,8.6,7.4,44,46.9,1,42.2,57.8
09X218,P/IS 218 R HERNANDEZ DUAL LANG                  ,2011-2012,82.4,36.8,12.7,3.9,8.1,87.5,0.2,46.7,53.3
09X219,IS 219 NEW VENTURE SCHOOL                       ,2011-2012,94.6,20,27.2,0.5,42.6,56.9,0,52.4,47.6
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL        ,2011-2012,83.9,29.3,21.1,1.1,27.9,69.3,0.8,50.1,49.9
09X229,I S 229 ROLAND PATTERSON                        ,2011-2012,94.4,20.5,30,0,48.6,50,0.5,52.3,47.7
09X230,PS 230 DR ROLAND N PATTERSON                    ,2011-2012,100,20,13.8,0,48.1,49.1,0.5,46.9,53.1
09X231,EAGLE ACADEMY FOR YOUNG MEN                     ,2011-2012,60.4,4,24.2,0.7,63.1,33.8,0.5,100,0
09X232,IS 232                                          ,2011-2012,90.7,45.5,15.7,0.2,18.7,81.1,0,53,47
09X236,PS 236 LANGSTON HUGHES                          ,2011-2012,93.3,14.5,18.2,0.5,27.8,70,0.7,53.6,46.4
09X239,THE URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZ,2011-2012,50.2,19.9,27.7,0.7,56.7,40.4,0.7,100,0
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIEN,2011-2012,79.5,9.4,14.7,2.6,32,63.4,1.5,49.3,50.7
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE B,2011-2012,62.9,8.1,18.8,0.6,40.7,58.1,0.3,46.6,53.4
09X252,MOTT HALL BRONX HIGH SCHOOL                     ,2011-2012,58.9,8.8,15.5,1.1,24.3,73.7,0.8,45.8,54
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS        ,2011-2012,70,1.6,14,5.9,24.3,68.7,1.1,46.2,53.8
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LE,2011-2012,76.1,12.1,16.2,1.1,34.2,63.8,0.3,44.1,55.9
09X276,LEADERSHIP INSTITUTE                            ,2011-2012,94.8,16.5,16.1,1.7,33,63.5,1.3,52.2,47.8
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES        ,2011-2012,79.1,19.1,22.4,0.4,26,73.1,0.4,53.8,46.2
09X303,IS 303 LEADERSHIP & COMM. SER                   ,2011-2012,100,16.8,15.3,0.3,24.1,75,0.6,53.8,46.2
09X313,IS 313 SCHL OF LEADERSHIP DEV.                  ,2011-2012,84.7,33.8,16.4,1.3,29.9,67.9,0.4,54.6,45.4
09X323,BRONX WRITING ACADEMY                           ,2011-2012,81.9,30.5,15.7,1.1,35,63.6,0.2,46.4,53.6
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARN,2011-2012,79.4,11,16.2,3,32,64.5,0.2,48.5,51.5
09X325,URBAN SCIENCE ACADEMY                           ,2011-2012,73.1,35.5,14.6,1.8,32.8,64.7,0.4,53.7,46.3
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327       ,2011-2012,87.8,11.8,18.5,0.6,29.4,69.2,0.8,51.5,48.5
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL   ,2011-2012,64.5,18.1,21.1,0.5,42.2,54.3,1.5,56.8,43.2
09X329,DREAMYARD PREPARATORY SCHOOL                    ,2011-2012,80,24.4,19.5,0,26.9,69.9,0.3,44.1,55.9
09X339,IS 339 SCHOOL OF COMM. TECH.                    ,2011-2012,89.3,29.6,22,0.8,32.7,65.5,0.3,55.3,44.7
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY             ,2011-2012,85.7,86.6,0.9,0,0.6,99.4,0,48.8,51.2
09X403,BRONX INTERNATIONAL HIGH SCHOOL                 ,2011-2012,82.3,87.1,1.2,1,22.8,72.2,3.7,45.7,54.3
09X404,SCHOOL FOR EXCELLENCE                           ,2011-2012,81.4,20.7,26.2,0.3,34.5,64.5,0,52.3,47.7
09X412,BRONX HIGH SCHOOL OF BUSINESS                   ,2011-2012,77.6,23.2,23.2,0.7,38.7,59.9,0.5,54.9,45.1
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE           ,2011-2012,76.9,5.7,8.6,5.3,36.7,57.8,0.2,42.2,57.8
