dbn,name,year,freelunch,ell,sped,asian,black,hisp,white,male,female
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD,2011-2012,51.2,1.9,14.4,3.4,84.1,10.4,0.8,43.1,56.9
29Q295,PS/IS 295                                       ,2011-2012,55.3,8.9,9.1,32,32.2,28.5,5.9,50.3,49.7
29Q326,CAMBRIA HEIGHTS ACADEMY                         ,2011-2012,71.1,2,13.6,3.4,87.1,7.5,2,55.1,44.9
29Q327,EAGLE ACADEMY FOR YOUNG MEN III                 ,2011-2012,58.1,0,15.2,3,92.1,3,1.2,99.4,0.6
29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL                ,2011-2012,60,1.2,19.5,0,94.5,4.3,1.2,40.9,59.1
29Q356,COMMUNITY VOICES MIDDLE SCHOOL                  ,2011-2012,60,7.7,15.4,3.5,89.5,6.3,0.7,54.5,45.5
29Q492,MATH SCIENCE RESEARCH AND TECHNOLOGY MAGNE      ,2011-2012,47.9,5.1,10.4,6.8,79.6,11.9,0.7,60.4,39.6
29Q494,LAW GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL,2011-2012,45.1,2.9,13.9,4.4,83.3,10.6,0.9,48.7,51.3
29Q496,BUSINESS COMPUTER APPLICATIONS & ENTREPRENEURSHI,2011-2012,43.5,6.5,19,6.2,85.3,5.4,0.8,67.1,32.9
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL            ,2011-2012,51.5,3.5,14.8,4,85.9,8.5,1.5,42.8,57.2
30Q002,PS 002 ALFRED ZIMBERG                           ,2011-2012,64.1,17.3,12.5,22.6,1.6,39.3,36.1,53.7,46.3
30Q010,IS 010 HORACE GREELEY                           ,2011-2012,91.4,14.4,14.1,26,6.1,49.4,18,51.7,48.3
30Q011,PS 011 KATHRYN PHELAN                           ,2011-2012,69.4,27.2,11.6,39.9,1.2,49.3,9.4,50.1,49.9
30Q017,PS 017 HENRY DAVID THOREAU                      ,2011-2012,77.4,28.2,19.1,23.5,7.5,56.1,12.7,52.9,47.1
30Q069,PS 069 JACKSON HEIGHTS                          ,2011-2012,62.3,20.6,7.9,47,0.8,41.6,10.2,51.1,48.9
30Q070,PS 070 QUEENS                                   ,2011-2012,74.3,23,6.4,19.5,1.9,41.6,36.1,53.4,46.6
30Q076,PS 076 WILLIAM HALLET                           ,2011-2012,76.7,18.6,30.3,7.7,27.8,50.3,13.1,51.6,48.4
30Q078,PS 078                                          ,2011-2012,43.4,7.9,7.5,12.5,6.8,40.8,36.6,55.1,44.9
30Q084,PS 084 STEINWAY                                 ,2011-2012,71.1,13.1,12.9,14.9,5.3,35.6,42.9,46.7,53.3
30Q085,PS 085 JUDGE CHARLES VALLONE                    ,2011-2012,69.2,10.4,7.8,24.9,2.5,29.6,41.3,47.3,52.7
30Q092,PS 092 HARRY T STEWART SR.                      ,2011-2012,89.4,43.5,13.7,1.5,2.8,95.6,0.1,48.7,51.3
30Q111,PS 111 JACOB BLACKWELL                          ,2011-2012,90.8,16.2,20.1,4.8,38.2,48.5,7.1,49.9,50.1
30Q112,PS 112 DUTCH KILLS                              ,2011-2012,88.3,22.9,16.5,24.3,23.1,45.9,6,53.1,46.9
30Q122,PS 122 MAMIE FAY                                ,2011-2012,54.6,5.7,8.6,34.9,3.6,24.3,36,47.7,52.3
30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ,2011-2012,85.3,17.1,21.8,18.9,23.1,49.5,7.8,54.4,45.6
30Q127,PS 127 AEROSPACE SCIENCE MAGNE                  ,2011-2012,85.4,33.3,11.4,10.7,15.6,72.7,1,50.7,49.3
30Q141,IS 141 THE STEINWAY                             ,2011-2012,62.5,8.1,15,21.9,4.2,41.1,29.2,54.9,45.1
30Q145,IS 145 JOSEPH PULITZER                          ,2011-2012,80.7,23.2,11.8,8,2.7,88.2,1.1,50.1,49.9
30Q148,PS 148 QUEENS                                   ,2011-2012,70.4,26.6,11.2,11.5,1.8,83.2,3.4,46.8,53.2
